"Year","Month","Day_of_Week","Hour","Division","Location","Brand","Type","Speed","Colour","Cost","Status","Total_theft"
2024,5,1,4,14,1,2,5,1,2,500,1,43
2024,5,7,4,55,1,1,4,21,4,1200,1,41
2024,5,1,4,14,1,2,5,1,8,500,1,43
2024,5,3,21,52,5,2,2,32,1,2100,1,50
2024,5,3,18,14,5,2,5,24,6,500,1,50
2024,5,3,22,14,1,1,5,18,7,799,1,50
2024,5,3,12,11,5,2,5,8,1,1799,1,50
2024,5,3,20,51,2,2,4,12,8,100,1,50
2024,4,7,20,22,5,1,5,18,4,800,1,25
2024,5,3,6,13,3,2,2,30,1,700,1,50
2024,5,7,22,51,2,2,5,3,8,700,1,41
2024,5,4,20,53,2,1,4,7,1,280,1,52
2024,5,4,10,11,5,2,5,1,7,1500,1,52
2024,5,2,14,42,1,1,4,21,7,279.99,1,47
2024,5,4,5,31,1,2,5,25,1,600,1,52
2024,5,4,6,53,2,1,4,8,1,1800,1,52
2024,5,3,3,55,5,2,4,10,2,100,1,50
2024,5,4,1,51,5,2,2,28,7,700,1,52
2024,5,5,1,51,2,2,4,21,1,550,1,34
2024,5,4,2,52,1,2,4,21,8,399,1,52
2024,5,4,21,55,1,2,5,7,4,450,1,52
2024,5,6,6,22,1,1,4,5,2,800,1,39
2024,5,3,19,53,3,2,5,19,1,600,1,50
2024,5,6,20,52,3,2,5,20,4,1200,1,39
2024,5,6,17,51,5,2,2,32,1,3000,1,39
2024,5,6,17,51,1,2,5,3,7,463.28,1,39
2024,5,7,16,33,3,1,4,18,1,160,1,41
2024,4,1,1,14,1,2,5,7,7,1000,1,38
2024,5,7,21,13,5,2,4,21,7,500,1,41
2024,5,1,17,33,2,1,5,6,7,600,1,43
2024,5,4,11,51,5,2,5,7,1,500,1,52
2024,5,7,15,31,2,2,5,8,1,226,1,41
2024,5,7,1,11,1,2,4,21,6,250,1,41
2024,5,7,20,14,1,2,1,8,1,2500,1,41
2024,5,7,20,14,1,2,1,8,1,2500,1,41
